   datafolder                          mlmethod n.trees shrinkage interaction.depth inscore   outscore  sd        
1  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-08     1                 0.6637870 0.6628133 0.08800262
2  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-08     2                 0.6841421 0.6933527 0.08994934
3  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-08     3                 0.6893917 0.6981719 0.09162132
4  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-03     1                 0.6640392 0.6597905 0.09024706
5  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-03     2                 0.6843054 0.6878327 0.08612008
6  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-03     3                 0.6895165 0.6967298 0.08939544
7  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-02     1                 0.6682471 0.6808278 0.09257113
8  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-02     2                 0.6840438 0.6876622 0.08386665
9  1to5butterEye8ch1300ms80pca_5fusion gbm        5     1e-02     3                 0.6874597 0.6924293 0.08537098
10 1to5butterEye8ch1300ms80pca_5fusion gbm        5     5e-02     1                 0.6782977 0.6848247 0.08077400
11 1to5butterEye8ch1300ms80pca_5fusion gbm        5     5e-02     2                 0.6874165 0.6933611 0.08683509
12 1to5butterEye8ch1300ms80pca_5fusion gbm        5     5e-02     3                 0.6904359 0.6989337 0.09091858
13 1to5butterEye8ch1300ms80pca_5fusion gbm        5     2e-01     1                 0.6827848 0.6901607 0.08909614
14 1to5butterEye8ch1300ms80pca_5fusion gbm        5     2e-01     2                 0.6915615 0.6986153 0.08755021
15 1to5butterEye8ch1300ms80pca_5fusion gbm        5     2e-01     3                 0.6952566 0.6986524 0.08457320
16 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-08     1                 0.6730077 0.6781419 0.09185598
17 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-08     2                 0.6875378 0.6927528 0.08586861
18 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-08     3                 0.6916336 0.6989986 0.08706679
19 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-03     1                 0.6780904 0.6849811 0.08640505
20 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-03     2                 0.6870492 0.6962887 0.08682066
21 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-03     3                 0.6926822 0.7011155 0.08870285
22 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-02     1                 0.6794729 0.6880082 0.08573020
23 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-02     2                 0.6884661 0.6979691 0.09134079
24 1to5butterEye8ch1300ms80pca_5fusion gbm       10     1e-02     3                 0.6925233 0.7012979 0.09047056
25 1to5butterEye8ch1300ms80pca_5fusion gbm       10     5e-02     1                 0.6832196 0.6895226 0.08715631
26 1to5butterEye8ch1300ms80pca_5fusion gbm       10     5e-02     2                 0.6917976 0.7003672 0.08650586
27 1to5butterEye8ch1300ms80pca_5fusion gbm       10     5e-02     3                 0.6961385 0.7039508 0.09198465
28 1to5butterEye8ch1300ms80pca_5fusion gbm       10     2e-01     1                 0.6919568 0.7018474 0.08486943
29 1to5butterEye8ch1300ms80pca_5fusion gbm       10     2e-01     2                 0.6982231 0.7065446 0.09083395
30 1to5butterEye8ch1300ms80pca_5fusion gbm       10     2e-01     3                 0.7022916 0.7015472 0.09124782
