   datafolder mlmethod n.trees shrinkage interaction.depth inscore   outscore  sd        
1  8ch1300ms  gbm      300     0.01       1                0.6326667 0.5396564 0.03593099
2  8ch1300ms  gbm      300     0.01      10                0.9128581 0.5611820 0.06407664
3  8ch1300ms  gbm      300     0.01      20                0.9736206 0.5740807 0.04828285
4  8ch1300ms  gbm      300     0.05       1                0.7071786 0.5488114 0.03172980
5  8ch1300ms  gbm      300     0.05      10                0.9959300 0.5716752 0.03505074
6  8ch1300ms  gbm      300     0.05      20                0.9999837 0.5749463 0.05248238
7  8ch1300ms  gbm      500     0.01       1                0.6521538 0.5424278 0.03206775 0.43196
8  8ch1300ms  gbm      500     0.01      10                0.9525932 0.5693261 0.05353294
9  8ch1300ms  gbm      500     0.01      20                0.9925176 0.5786763 0.04654782
10 8ch1300ms  gbm      500     0.05       1                0.7414706 0.5506973 0.03445976
11 8ch1300ms  gbm      500     0.05      10                0.9998557 0.5763787 0.04731356
12 8ch1300ms  gbm      500     0.05      20                0.9999989 0.5738041 0.04986569
13 8ch1300ms  gbm      700     0.01       1                0.6690593 0.5440331 0.03206355
14 8ch1300ms  gbm      700     0.01      10                0.9751942 0.5739411 0.04876904
15 8ch1300ms  gbm      700     0.01      20                0.9978195 0.5648063 0.06506481
16 8ch1300ms  gbm      700     0.05       1                0.7644974 0.5504744 0.03947038
17 8ch1300ms  gbm      700     0.05      10                0.9999949 0.5850113 0.04588629 0.47839
18 8ch1300ms  gbm      700     0.05      20                0.9999991 0.5832323 0.04859133

   datafolder mlmethod ntree mtry nodesize inscore   outscore  sd        
1  8ch1300ms  rf        200   10   1       1.0000000 0.5623380 0.06273193
2  8ch1300ms  rf        200   10   5       0.9999991 0.5563941 0.06759349
3  8ch1300ms  rf        200   10  10       0.9998414 0.5525437 0.07731754
4  8ch1300ms  rf        200   10  20       0.9928113 0.5555370 0.06419959
5  8ch1300ms  rf        200   30   1       1.0000000 0.5645323 0.06342520
6  8ch1300ms  rf        200   30   5       0.9999998 0.5618651 0.06186238
7  8ch1300ms  rf        200   30  10       0.9998555 0.5569575 0.07563142
8  8ch1300ms  rf        200   30  20       0.9966549 0.5558121 0.06456970
9  8ch1300ms  rf        200   70   1       1.0000000 0.5645820 0.06731003
10 8ch1300ms  rf        200   70   5       0.9999995 0.5643643 0.05644022
11 8ch1300ms  rf        200   70  10       0.9999299 0.5554040 0.06750813
12 8ch1300ms  rf        200   70  20       0.9978897 0.5579443 0.06675430
13 8ch1300ms  rf        200  100   1       1.0000000 0.5567150 0.06117256
14 8ch1300ms  rf        200  100   5       0.9999999 0.5629967 0.06896449
15 8ch1300ms  rf        200  100  10       0.9998918 0.5638435 0.06718822
16 8ch1300ms  rf        200  100  20       0.9983134 0.5631224 0.06704017
17 8ch1300ms  rf        500   10   1       1.0000000 0.5607749 0.06616060
18 8ch1300ms  rf        500   10   5       0.9999992 0.5595188 0.06630684
19 8ch1300ms  rf        500   10  10       0.9998531 0.5613002 0.07125649
20 8ch1300ms  rf        500   10  20       0.9933742 0.5517905 0.07017633
21 8ch1300ms  rf        500   30   1       1.0000000 0.5638017 0.06954840
22 8ch1300ms  rf        500   30   5       0.9999999 0.5642845 0.07443822
23 8ch1300ms  rf        500   30  10       0.9999105 0.5642411 0.07505159
24 8ch1300ms  rf        500   30  20       0.9968356 0.5572607 0.06906125
25 8ch1300ms  rf        500   70   1       1.0000000 0.5664938 0.06816260
26 8ch1300ms  rf        500   70   5       0.9999999 0.5609522 0.06536030
27 8ch1300ms  rf        500   70  10       0.9999246 0.5635942 0.06769563
28 8ch1300ms  rf        500   70  20       0.9982625 0.5609065 0.07352093
29 8ch1300ms  rf        500  100   1       1.0000000 0.5648293 0.06812686
30 8ch1300ms  rf        500  100   5       0.9999999 0.5683632 0.07237287
31 8ch1300ms  rf        500  100  10       0.9999478 0.5619129 0.06256678
32 8ch1300ms  rf        500  100  20       0.9984748 0.5597610 0.06426105
33 8ch1300ms  rf       1000   10   1       1.0000000 0.5627023 0.06774917
34 8ch1300ms  rf       1000   10   5       0.9999992 0.5630831 0.06751620
