   datafolder    mlmethod ntree mtry nodesize inscore   outscore  sd        
1  8ch1300ms16cv rf        200   10   1       1.0000000 0.5516598 0.03626730
2  8ch1300ms16cv rf        200   10   5       0.9999987 0.5468614 0.04130109
3  8ch1300ms16cv rf        200   10  10       0.9999127 0.5439451 0.04452100
4  8ch1300ms16cv rf        200   10  20       0.9934129 0.5526714 0.05060803
5  8ch1300ms16cv rf        200   30   1       1.0000000 0.5437886 0.04712726
6  8ch1300ms16cv rf        200   30   5       0.9999999 0.5499141 0.05192925
7  8ch1300ms16cv rf        200   30  10       0.9999654 0.5547487 0.05204123
8  8ch1300ms16cv rf        200   30  20       0.9969240 0.5525655 0.05035613
9  8ch1300ms16cv rf        200   70   1       1.0000000 0.5497674 0.04522980
10 8ch1300ms16cv rf        200   70   5       1.0000000 0.5509561 0.04447809
11 8ch1300ms16cv rf        200   70  10       0.9999741 0.5469888 0.04462094
12 8ch1300ms16cv rf        200   70  20       0.9982116 0.5551963 0.04672631
13 8ch1300ms16cv rf        200  100   1       1.0000000 0.5397540 0.05003343
14 8ch1300ms16cv rf        200  100   5       1.0000000 0.5505307 0.05243676
15 8ch1300ms16cv rf        200  100  10       0.9999876 0.5546815 0.05109298
16 8ch1300ms16cv rf        200  100  20       0.9985521 0.5581255 0.04933754 0.48726
17 8ch1300ms16cv rf        500   10   1       1.0000000 0.5524818 0.05213357
18 8ch1300ms16cv rf        500   10   5       0.9999990 0.5533620 0.04136783
19 8ch1300ms16cv rf        500   10  10       0.9999365 0.5496905 0.05596394
20 8ch1300ms16cv rf        500   10  20       0.9941420 0.5474410 0.05432946
21 8ch1300ms16cv rf        500   30   1       1.0000000 0.5478141 0.05326487
22 8ch1300ms16cv rf        500   30   5       0.9999999 0.5542637 0.05256375
23 8ch1300ms16cv rf        500   30  10       0.9999791 0.5507841 0.04700924
24 8ch1300ms16cv rf        500   30  20       0.9973792 0.5454037 0.05472228
25 8ch1300ms16cv rf        500   70   1       1.0000000 0.5456497 0.05085133
26 8ch1300ms16cv rf        500   70   5       0.9999999 0.5486128 0.04899087
27 8ch1300ms16cv rf        500   70  10       0.9999874 0.5527276 0.04679975
28 8ch1300ms16cv rf        500   70  20       0.9985522 0.5499124 0.05115915
29 8ch1300ms16cv rf        500  100   1       1.0000000 0.5440574 0.04962132
30 8ch1300ms16cv rf        500  100   5       0.9999999 0.5482116 0.04767615
31 8ch1300ms16cv rf        500  100  10       0.9999859 0.5501781 0.04975202
32 8ch1300ms16cv rf        500  100  20       0.9987872 0.5481759 0.05063149
33 8ch1300ms16cv rf       1000   10   1       1.0000000 0.5447250 0.05207209
34 8ch1300ms16cv rf       1000   10   5       0.9999993 0.5479899 0.05508977
35 8ch1300ms16cv rf       1000   10  10       0.9999401 0.5518257 0.05357525
36 8ch1300ms16cv rf       1000   10  20       0.9943952 0.5466552 0.05303779
37 8ch1300ms16cv rf       1000   30   1       1.0000000 0.5499861 0.05139536
38 8ch1300ms16cv rf       1000   30   5       0.9999999 0.5503443 0.05659737
39 8ch1300ms16cv rf       1000   30  10       0.9999828 0.5529648 0.04796715
40 8ch1300ms16cv rf       1000   30  20       0.9974481 0.5513916 0.04957496
41 8ch1300ms16cv rf       1000   70   1       1.0000000 0.5472559 0.04238101
42 8ch1300ms16cv rf       1000   70   5       1.0000000 0.5522938 0.04403819
43 8ch1300ms16cv rf       1000   70  10       0.9999885 0.5519638 0.04564560
44 8ch1300ms16cv rf       1000   70  20       0.9985472 0.5483950 0.05172685
45 8ch1300ms16cv rf       1000  100   1       1.0000000 0.5486896 0.04611059
46 8ch1300ms16cv rf       1000  100   5       1.0000000 0.5476396 0.05304391
47 8ch1300ms16cv rf       1000  100  10       0.9999903 0.5503908 0.04362957
48 8ch1300ms16cv rf       1000  100  20       0.9988650 0.5548549 0.04792519

   datafolder    mlmethod ntree mtry nodesize inscore   outscore  sd        
1  8ch1300ms16cv rf        10    50   100     0.7710299 0.5370405 0.04186507
2  8ch1300ms16cv rf        10    50   500     0.6116935 0.5080198 0.03138343
3  8ch1300ms16cv rf        10    50  1000     0.5609728 0.4967180 0.02534795
4  8ch1300ms16cv rf        10   100   100     0.7774587 0.5111707 0.03503725
5  8ch1300ms16cv rf        10   100   500     0.6246717 0.5106026 0.03565405
6  8ch1300ms16cv rf        10   100  1000     0.5678670 0.5142832 0.02977169
7  8ch1300ms16cv rf        10   500   100     0.7999961 0.5310057 0.05691047
8  8ch1300ms16cv rf        10   500   500     0.6396068 0.5223463 0.03179459
9  8ch1300ms16cv rf        10   500  1000     0.5891455 0.5121311 0.03307430
10 8ch1300ms16cv rf       100    50   100     0.8650220 0.5484136 0.05722914
11 8ch1300ms16cv rf       100    50   500     0.7164196 0.5280887 0.05716999
12 8ch1300ms16cv rf       100    50  1000     0.6546179 0.5425009 0.05183567 0.52132
13 8ch1300ms16cv rf       100   100   100     0.8759345 0.5383077 0.04513034
14 8ch1300ms16cv rf       100   100   500     0.7269549 0.5223650 0.04991884
