   datafolder mlmethod ntree mtry nodesize score     sd
1  cz2sec     rf        200   10   1       0.5560993 NA
2  cz2sec     rf        200   10   5       0.5587299 NA
3  cz2sec     rf        200   10  10       0.5551776 NA
4  cz2sec     rf        200   10  20       0.5681804 NA
5  cz2sec     rf        200   30   1       0.5581239 NA
6  cz2sec     rf        200   30   5       0.5606107 NA
7  cz2sec     rf        200   30  10       0.5607146 NA
8  cz2sec     rf        200   30  20       0.5688971 NA
9  cz2sec     rf        200   70   1       0.5572423 NA
10 cz2sec     rf        200   70   5       0.5614667 NA
11 cz2sec     rf        200   70  10       0.5603229 NA
12 cz2sec     rf        200   70  20       0.5736101 NA
13 cz2sec     rf        200  100   1       0.5602152 NA
14 cz2sec     rf        200  100   5       0.5603925 NA
15 cz2sec     rf        200  100  10       0.5600394 NA
16 cz2sec     rf        200  100  20       0.5695741 NA
17 cz2sec     rf        500   10   1       0.5581483 NA
18 cz2sec     rf        500   10   5       0.5579141 NA
19 cz2sec     rf        500   10  10       0.5599746 NA
20 cz2sec     rf        500   10  20       0.5688760 NA
21 cz2sec     rf        500   30   1       0.5605326 NA
22 cz2sec     rf        500   30   5       0.5599776 NA
23 cz2sec     rf        500   30  10       0.5609930 NA
24 cz2sec     rf        500   30  20       0.5757781 NA 0.57118
25 cz2sec     rf        500   70   1       0.5620085 NA
26 cz2sec     rf        500   70   5       0.5598173 NA
27 cz2sec     rf        500   70  10       0.5617117 NA
28 cz2sec     rf        500   70  20       0.5670074 NA
29 cz2sec     rf        500  100   1       0.5606518 NA
30 cz2sec     rf        500  100   5       0.5628660 NA
31 cz2sec     rf        500  100  10       0.5595859 NA
32 cz2sec     rf        500  100  20       0.5725108 NA
33 cz2sec     rf       1000   10   1       0.5592443 NA
34 cz2sec     rf       1000   10   5       0.5589863 NA
35 cz2sec     rf       1000   10  10       0.5582736 NA
36 cz2sec     rf       1000   10  20       0.5662215 NA
37 cz2sec     rf       1000   30   1       0.5610068 NA
38 cz2sec     rf       1000   30   5       0.5601779 NA
39 cz2sec     rf       1000   30  10       0.5609192 NA
40 cz2sec     rf       1000   30  20       0.5728776 NA
41 cz2sec     rf       1000   70   1       0.5597315 NA
42 cz2sec     rf       1000   70   5       0.5580938 NA
43 cz2sec     rf       1000   70  10       0.5607760 NA
44 cz2sec     rf       1000   70  20       0.5725973 NA
45 cz2sec     rf       1000  100   1       0.5609937 NA
46 cz2sec     rf       1000  100   5       0.5605672 NA
47 cz2sec     rf       1000  100  10       0.5610812 NA
48 cz2sec     rf       1000  100  20       0.5751507 NA

   datafolder mlmethod n.trees shrinkage interaction.depth score     sd
1  cz2sec     gbm       500    0.01       1                0.5389907 NA
2  cz2sec     gbm       500    0.01       2                0.5495931 NA
