   datafolder   mlmethod n.trees shrinkage interaction.depth inscore   outscore  sd        
1  cz2sec_15to1 gbm      300     0.01       1                0.5873309 0.5351814 0.02612566
2  cz2sec_15to1 gbm      300     0.01      10                0.8710569 0.5507571 0.06063489
3  cz2sec_15to1 gbm      300     0.01      20                0.9440424 0.5571535 0.06761071
4  cz2sec_15to1 gbm      300     0.05       1                0.6439603 0.5298246 0.04333508
5  cz2sec_15to1 gbm      300     0.05      10                0.9793394 0.5673809 0.05256583
6  cz2sec_15to1 gbm      300     0.05      20                0.9988355 0.5603116 0.06008553
7  cz2sec_15to1 gbm      500     0.01       1                0.6018376 0.5332976 0.02848702
8  cz2sec_15to1 gbm      500     0.01      10                0.9185783 0.5589035 0.07013718
9  cz2sec_15to1 gbm      500     0.01      20                0.9758528 0.5596645 0.06395187
10 cz2sec_15to1 gbm      500     0.05       1                0.6720033 0.5343587 0.03778539
11 cz2sec_15to1 gbm      500     0.05      10                0.9965426 0.5644790 0.05803917
12 cz2sec_15to1 gbm      500     0.05      20                0.9998599 0.5603937 0.06681894
13 cz2sec_15to1 gbm      700     0.01       1                0.6133670 0.5325075 0.03223903
14 cz2sec_15to1 gbm      700     0.01      10                0.9456368 0.5582906 0.07264121
15 cz2sec_15to1 gbm      700     0.01      20                0.9894097 0.5628460 0.06952325
16 cz2sec_15to1 gbm      700     0.05       1                0.6917778 0.5286299 0.04568657
17 cz2sec_15to1 gbm      700     0.05      10                0.9993409 0.5605052 0.06157088
18 cz2sec_15to1 gbm      700     0.05      20                0.9999715 0.5618610 0.05306047

