   datafolder      mlmethod n.trees shrinkage interaction.depth score     sd
1  cz2sec_pca_meta gbm       500    0.01       1                0.6314153 NA
2  cz2sec_pca_meta gbm       500    0.01       2                0.6503734 NA
3  cz2sec_pca_meta gbm       500    0.01       3                0.6546906 NA 0.64513
4  cz2sec_pca_meta gbm       500    0.01       5                0.6494499 NA
5  cz2sec_pca_meta gbm       500    0.01      10                0.6460310 NA
6  cz2sec_pca_meta gbm       500    0.01      20                0.6391404 NA
7  cz2sec_pca_meta gbm       500    0.01      30                0.6319957 NA
8  cz2sec_pca_meta gbm       500    0.05       1                0.6357641 NA
9  cz2sec_pca_meta gbm       500    0.05       2                0.6287270 NA
10 cz2sec_pca_meta gbm       500    0.05       3                0.6321676 NA
11 cz2sec_pca_meta gbm       500    0.05       5                0.6182529 NA
12 cz2sec_pca_meta gbm       500    0.05      10                0.6173034 NA
13 cz2sec_pca_meta gbm       500    0.05      20                0.6047935 NA
14 cz2sec_pca_meta gbm       500    0.05      30                0.6107903 NA
15 cz2sec_pca_meta gbm       500    0.10       1                0.6266127 NA
16 cz2sec_pca_meta gbm       500    0.10       2                0.6025130 NA
17 cz2sec_pca_meta gbm       500    0.10       3                0.6120829 NA
18 cz2sec_pca_meta gbm       500    0.10       5                0.5883544 NA
19 cz2sec_pca_meta gbm       500    0.10      10                0.6062427 NA
20 cz2sec_pca_meta gbm       500    0.10      20                0.5981682 NA
21 cz2sec_pca_meta gbm       500    0.10      30                0.6043579 NA
22 cz2sec_pca_meta gbm       500    0.50       1                0.5679957 NA
23 cz2sec_pca_meta gbm       500    0.50       2                0.5731090 NA
24 cz2sec_pca_meta gbm       500    0.50       3                0.5524791 NA
25 cz2sec_pca_meta gbm       500    0.50       5                0.5698000 NA
26 cz2sec_pca_meta gbm       500    0.50      10                0.5606547 NA
27 cz2sec_pca_meta gbm       500    0.50      20                0.5785600 NA
28 cz2sec_pca_meta gbm       500    0.50      30                0.5693082 NA
29 cz2sec_pca_meta gbm       800    0.01       1                0.6405923 NA
30 cz2sec_pca_meta gbm       800    0.01       2                0.6500832 NA
31 cz2sec_pca_meta gbm       800    0.01       3                0.6499361 NA
32 cz2sec_pca_meta gbm       800    0.01       5                0.6445631 NA
33 cz2sec_pca_meta gbm       800    0.01      10                0.6377809 NA
34 cz2sec_pca_meta gbm       800    0.01      20                0.6307765 NA
35 cz2sec_pca_meta gbm       800    0.01      30                0.6280293 NA
36 cz2sec_pca_meta gbm       800    0.05       1                0.6334130 NA
37 cz2sec_pca_meta gbm       800    0.05       2                0.6262166 NA
38 cz2sec_pca_meta gbm       800    0.05       3                0.6197631 NA
39 cz2sec_pca_meta gbm       800    0.05       5                0.6146199 NA
40 cz2sec_pca_meta gbm       800    0.05      10                0.6079150 NA
41 cz2sec_pca_meta gbm       800    0.05      20                0.6091594 NA
42 cz2sec_pca_meta gbm       800    0.05      30                0.6028307 NA
43 cz2sec_pca_meta gbm       800    0.10       1                0.6174345 NA
44 cz2sec_pca_meta gbm       800    0.10       2                0.6040727 NA
45 cz2sec_pca_meta gbm       800    0.10       3                0.5959894 NA
46 cz2sec_pca_meta gbm       800    0.10       5                0.6006113 NA
47 cz2sec_pca_meta gbm       800    0.10      10                0.5976260 NA
48 cz2sec_pca_meta gbm       800    0.10      20                0.6144299 NA
49 cz2sec_pca_meta gbm       800    0.10      30                0.6020846 NA
50 cz2sec_pca_meta gbm       800    0.50       1                0.5565991 NA
51 cz2sec_pca_meta gbm       800    0.50       2                0.5709303 NA
52 cz2sec_pca_meta gbm       800    0.50       3                0.5641541 NA
53 cz2sec_pca_meta gbm       800    0.50       5                0.5568770 NA
54 cz2sec_pca_meta gbm       800    0.50      10                0.5741373 NA
55 cz2sec_pca_meta gbm       800    0.50      20                0.5889491 NA
56 cz2sec_pca_meta gbm       800    0.50      30                0.5949842 NA
57 cz2sec_pca_meta gbm      1200    0.01       1                0.6430036 NA
58 cz2sec_pca_meta gbm      1200    0.01       2                0.6454499 NA
59 cz2sec_pca_meta gbm      1200    0.01       3                0.6460310 NA
60 cz2sec_pca_meta gbm      1200    0.01       5                0.6399359 NA
61 cz2sec_pca_meta gbm      1200    0.01      10                0.6316672 NA
62 cz2sec_pca_meta gbm      1200    0.01      20                0.6285067 NA
63 cz2sec_pca_meta gbm      1200    0.01      30                0.6292175 NA
64 cz2sec_pca_meta gbm      1200    0.05       1                0.6258251 NA
65 cz2sec_pca_meta gbm      1200    0.05       2                0.6172339 NA
66 cz2sec_pca_meta gbm      1200    0.05       3                0.6135835 NA
67 cz2sec_pca_meta gbm      1200    0.05       5                0.6038381 NA
68 cz2sec_pca_meta gbm      1200    0.05      10                0.6063688 NA
69 cz2sec_pca_meta gbm      1200    0.05      20                0.6058759 NA
70 cz2sec_pca_meta gbm      1200    0.05      30                0.6061926 NA
71 cz2sec_pca_meta gbm      1200    0.10       1                0.6088391 NA
72 cz2sec_pca_meta gbm      1200    0.10       2                0.5917125 NA
73 cz2sec_pca_meta gbm      1200    0.10       3                0.5939439 NA
74 cz2sec_pca_meta gbm      1200    0.10       5                0.5926468 NA
75 cz2sec_pca_meta gbm      1200    0.10      10                0.6067022 NA
76 cz2sec_pca_meta gbm      1200    0.10      20                0.5974488 NA
77 cz2sec_pca_meta gbm      1200    0.10      30                0.6067526 NA
78 cz2sec_pca_meta gbm      1200    0.50       1                0.5675522 NA
79 cz2sec_pca_meta gbm      1200    0.50       2                0.5663892 NA
80 cz2sec_pca_meta gbm      1200    0.50       3                0.5654899 NA
81 cz2sec_pca_meta gbm      1200    0.50       5                0.5757235 NA
82 cz2sec_pca_meta gbm      1200    0.50      10                0.5795330 NA
83 cz2sec_pca_meta gbm      1200    0.50      20                0.5859241 NA
84 cz2sec_pca_meta gbm      1200    0.50      30                0.6003782 NA

