   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd        
1  fft_cz1300ms rf        200  10    1       1.0000000 0.5430635 0.01592371
2  fft_cz1300ms rf        200  10    5       1.0000000 0.5316453 0.02083391
3  fft_cz1300ms rf        200  10   10       1.0000000 0.5196325 0.02126042
4  fft_cz1300ms rf        200  10   20       0.9999605 0.5341312 0.01976782
5  fft_cz1300ms rf        200  30    1       1.0000000 0.5304367 0.01950666
6  fft_cz1300ms rf        200  30    5       1.0000000 0.5321311 0.02788565
7  fft_cz1300ms rf        200  30   10       1.0000000 0.5243344 0.02002323
8  fft_cz1300ms rf        200  30   20       0.9999893 0.5323773 0.03202768
9  fft_cz1300ms rf        200  70    1       1.0000000 0.5230826 0.02039074
10 fft_cz1300ms rf        200  70    5       1.0000000 0.5317023 0.02202333
11 fft_cz1300ms rf        200  70   10       1.0000000 0.5277536 0.02502736
12 fft_cz1300ms rf        200  70   20       0.9999736 0.5320766 0.03227157
13 fft_cz1300ms rf        500  10    1       1.0000000 0.5338872 0.01816865
14 fft_cz1300ms rf        500  10    5       1.0000000 0.5225002 0.02195236
15 fft_cz1300ms rf        500  10   10       1.0000000 0.5256618 0.01995965
16 fft_cz1300ms rf        500  10   20       0.9999851 0.5380078 0.02153679
17 fft_cz1300ms rf        500  30    1       1.0000000 0.5242483 0.03782241
18 fft_cz1300ms rf        500  30    5       1.0000000 0.5283891 0.03045994
19 fft_cz1300ms rf        500  30   10       1.0000000 0.5319226 0.02630535
20 fft_cz1300ms rf        500  30   20       0.9999953 0.5363576 0.03243709
21 fft_cz1300ms rf        500  70    1       1.0000000 0.5279533 0.02446054
22 fft_cz1300ms rf        500  70    5       1.0000000 0.5329806 0.02943721
23 fft_cz1300ms rf        500  70   10       1.0000000 0.5296294 0.02181190
24 fft_cz1300ms rf        500  70   20       0.9999928 0.5299528 0.03018211
25 fft_cz1300ms rf       1000  10    1       1.0000000 0.5257583 0.02116662
26 fft_cz1300ms rf       1000  10    5       1.0000000 0.5280220 0.02243795
27 fft_cz1300ms rf       1000  10   10       1.0000000 0.5380817 0.01865821
28 fft_cz1300ms rf       1000  10   20       0.9999799 0.5298945 0.02062110
29 fft_cz1300ms rf       1000  30    1       1.0000000 0.5290584 0.02226619
30 fft_cz1300ms rf       1000  30    5       1.0000000 0.5253060 0.02520889
31 fft_cz1300ms rf       1000  30   10       1.0000000 0.5307847 0.02875955
32 fft_cz1300ms rf       1000  30   20       0.9999946 0.5336275 0.02429831
33 fft_cz1300ms rf       1000  70    1       1.0000000 0.5285845 0.02199620
34 fft_cz1300ms rf       1000  70    5       1.0000000 0.5279820 0.02586973
35 fft_cz1300ms rf       1000  70   10       1.0000000 0.5321201 0.03178109
36 fft_cz1300ms rf       1000  70   20       0.9999937 0.5316941 0.02957071

    datafolder   mlmethod ntree mtry nodesize coefReg inscore   outscore 
1   fft_cz1300ms rrf       200  10    1       0.25    1.0000000 0.5133671
2   fft_cz1300ms rrf       200  10    1       0.50    1.0000000 0.5102833
3   fft_cz1300ms rrf       200  10    1       0.75    1.0000000 0.5180896
4   fft_cz1300ms rrf       200  10    5       0.25    0.9715180 0.5119654
5   fft_cz1300ms rrf       200  10    5       0.50    0.9713959 0.5172603
6   fft_cz1300ms rrf       200  10    5       0.75    1.0000000 0.5279706
7   fft_cz1300ms rrf       200  10   10       0.25    0.9251887 0.5125721
8   fft_cz1300ms rrf       200  10   10       0.50    0.9216090 0.5136597
9   fft_cz1300ms rrf       200  10   10       0.75    0.9999997 0.5150162
10  fft_cz1300ms rrf       200  10   20       0.25    0.8617051 0.5109248
11  fft_cz1300ms rrf       200  10   20       0.50    0.8626649 0.5182626
12  fft_cz1300ms rrf       200  10   20       0.75    0.9966064 0.5113847
13  fft_cz1300ms rrf       200  30    1       0.25    1.0000000 0.5058795
14  fft_cz1300ms rrf       200  30    1       0.50    1.0000000 0.5160424
15  fft_cz1300ms rrf       200  30    1       0.75    1.0000000 0.5199209
16  fft_cz1300ms rrf       200  30    5       0.25    0.9724779 0.5142107
17  fft_cz1300ms rrf       200  30    5       0.50    0.9721859 0.5117964
18  fft_cz1300ms rrf       200  30    5       0.75    1.0000000 0.5172066
19  fft_cz1300ms rrf       200  30   10       0.25    0.9226995 0.5141325
20  fft_cz1300ms rrf       200  30   10       0.50    0.9224899 0.5115260
21  fft_cz1300ms rrf       200  30   10       0.75    1.0000000 0.5175836
22  fft_cz1300ms rrf       200  30   20       0.25    0.8632058 0.5160273
23  fft_cz1300ms rrf       200  30   20       0.50    0.8652652 0.5294602
24  fft_cz1300ms rrf       200  30   20       0.75    0.9978584 0.5291235
25  fft_cz1300ms rrf       200  70    1       0.25    1.0000000 0.5181578
26  fft_cz1300ms rrf       200  70    1       0.50    1.0000000 0.5053718
27  fft_cz1300ms rrf       200  70    1       0.75    1.0000000 0.5322123
28  fft_cz1300ms rrf       200  70    5       0.25    0.9711802 0.4989117
29  fft_cz1300ms rrf       200  70    5       0.50    0.9725640 0.5073587
30  fft_cz1300ms rrf       200  70    5       0.75    1.0000000 0.5249498
31  fft_cz1300ms rrf       200  70   10       0.25    0.9233347 0.5045178
32  fft_cz1300ms rrf       200  70   10       0.50    0.9220070 0.5192642
33  fft_cz1300ms rrf       200  70   10       0.75    1.0000000 0.5235093
34  fft_cz1300ms rrf       200  70   20       0.25    0.8659610 0.5090424
35  fft_cz1300ms rrf       200  70   20       0.50    0.8643088 0.5079450
36  fft_cz1300ms rrf       200  70   20       0.75    0.9982897 0.5267402
37  fft_cz1300ms rrf       500  10    1       0.25    1.0000000 0.5102203
