IdFeedBack,Prediction
S01_Sess01_FB001,0.578
S01_Sess01_FB002,0.546
S01_Sess01_FB003,0.544
S01_Sess01_FB004,0.58
S01_Sess01_FB005,0.598
S01_Sess01_FB006,0.612
S01_Sess01_FB007,0.576
S01_Sess01_FB008,0.654
S01_Sess01_FB009,0.698
S01_Sess01_FB010,0.662
S01_Sess01_FB011,0.706
S01_Sess01_FB012,0.676
S01_Sess01_FB013,0.764
S01_Sess01_FB014,0.768
S01_Sess01_FB015,0.766
S01_Sess01_FB016,0.78
S01_Sess01_FB017,0.664
S01_Sess01_FB018,0.642
S01_Sess01_FB019,0.73
S01_Sess01_FB020,0.734
S01_Sess01_FB021,0.784
S01_Sess01_FB022,0.758
S01_Sess01_FB023,0.68
S01_Sess01_FB024,0.76
S01_Sess01_FB025,0.734
S01_Sess01_FB026,0.816
S01_Sess01_FB027,0.856
S01_Sess01_FB028,0.77
S01_Sess01_FB029,0.88
S01_Sess01_FB030,0.836
S01_Sess01_FB031,0.694
S01_Sess01_FB032,0.852
S01_Sess01_FB033,0.886
S01_Sess01_FB034,0.892
S01_Sess01_FB035,0.85
S01_Sess01_FB036,0.894
S01_Sess01_FB037,0.856
S01_Sess01_FB038,0.856
S01_Sess01_FB039,0.792
S01_Sess01_FB040,0.848
S01_Sess01_FB041,0.794
S01_Sess01_FB042,0.91
S01_Sess01_FB043,0.742
S01_Sess01_FB044,0.688
S01_Sess01_FB045,0.704
S01_Sess01_FB046,0.798
S01_Sess01_FB047,0.712
S01_Sess01_FB048,0.69
S01_Sess01_FB049,0.64
S01_Sess01_FB050,0.59
S01_Sess01_FB051,0.66
S01_Sess01_FB052,0.762
S01_Sess01_FB053,0.734
S01_Sess01_FB054,0.806
S01_Sess01_FB055,0.722
S01_Sess01_FB056,0.248
S01_Sess01_FB057,0.566
S01_Sess01_FB058,0.74
S01_Sess01_FB059,0.804
S01_Sess01_FB060,0.724
S01_Sess02_FB001,0.844
S01_Sess02_FB002,0.782
S01_Sess02_FB003,0.944
S01_Sess02_FB004,0.844
S01_Sess02_FB005,0.834
S01_Sess02_FB006,0.904
S01_Sess02_FB007,0.782
S01_Sess02_FB008,0.67
S01_Sess02_FB009,0.886
S01_Sess02_FB010,0.752
S01_Sess02_FB011,0.788
S01_Sess02_FB012,0.828
S01_Sess02_FB013,0.68
S01_Sess02_FB014,0.632
S01_Sess02_FB015,0.658
S01_Sess02_FB016,0.678
S01_Sess02_FB017,0.646
S01_Sess02_FB018,0.786
S01_Sess02_FB019,0.864
S01_Sess02_FB020,0.718
S01_Sess02_FB021,0.686
S01_Sess02_FB022,0.678
S01_Sess02_FB023,0.796
S01_Sess02_FB024,0.664
S01_Sess02_FB025,0.842
S01_Sess02_FB026,0.902
S01_Sess02_FB027,0.918
S01_Sess02_FB028,0.822
S01_Sess02_FB029,0.678
S01_Sess02_FB030,0.834
S01_Sess02_FB031,0.794
S01_Sess02_FB032,0.74
S01_Sess02_FB033,0.704
S01_Sess02_FB034,0.87
S01_Sess02_FB035,0.76
S01_Sess02_FB036,0.648
S01_Sess02_FB037,0.552
S01_Sess02_FB038,0.674
S01_Sess02_FB039,0.884
S01_Sess02_FB040,0.862
S01_Sess02_FB041,0.886
S01_Sess02_FB042,0.618
S01_Sess02_FB043,0.852
S01_Sess02_FB044,0.838
S01_Sess02_FB045,0.784
S01_Sess02_FB046,0.754
S01_Sess02_FB047,0.838
S01_Sess02_FB048,0.682
S01_Sess02_FB049,0.852
S01_Sess02_FB050,0.638
S01_Sess02_FB051,0.852
S01_Sess02_FB052,0.524
S01_Sess02_FB053,0.754
S01_Sess02_FB054,0.692
S01_Sess02_FB055,0.786
S01_Sess02_FB056,0.86
S01_Sess02_FB057,0.76
S01_Sess02_FB058,0.754
S01_Sess02_FB059,0.88
S01_Sess02_FB060,0.838
S01_Sess03_FB001,0.708
S01_Sess03_FB002,0.58
S01_Sess03_FB003,0.756
S01_Sess03_FB004,0.794
S01_Sess03_FB005,0.642
S01_Sess03_FB006,0.644
S01_Sess03_FB007,0.794
S01_Sess03_FB008,0.698
S01_Sess03_FB009,0.732
S01_Sess03_FB010,0.704
S01_Sess03_FB011,0.784
S01_Sess03_FB012,0.828
S01_Sess03_FB013,0.734
S01_Sess03_FB014,0.7
S01_Sess03_FB015,0.53
S01_Sess03_FB016,0.79
S01_Sess03_FB017,0.774
S01_Sess03_FB018,0.842
S01_Sess03_FB019,0.66
S01_Sess03_FB020,0.548
S01_Sess03_FB021,0.758
S01_Sess03_FB022,0.75
S01_Sess03_FB023,0.796
S01_Sess03_FB024,0.69
S01_Sess03_FB025,0.724
S01_Sess03_FB026,0.65
S01_Sess03_FB027,0.714
S01_Sess03_FB028,0.576
S01_Sess03_FB029,0.72
S01_Sess03_FB030,0.838
S01_Sess03_FB031,0.768
S01_Sess03_FB032,0.736
S01_Sess03_FB033,0.47
S01_Sess03_FB034,0.514
S01_Sess03_FB035,0.756
S01_Sess03_FB036,0.612
S01_Sess03_FB037,0.608
S01_Sess03_FB038,0.67
S01_Sess03_FB039,0.71
S01_Sess03_FB040,0.81
S01_Sess03_FB041,0.67
S01_Sess03_FB042,0.306
S01_Sess03_FB043,0.672
S01_Sess03_FB044,0.48
S01_Sess03_FB045,0.606
S01_Sess03_FB046,0.736
S01_Sess03_FB047,0.512
S01_Sess03_FB048,0.63
S01_Sess03_FB049,0.712
S01_Sess03_FB050,0.784
S01_Sess03_FB051,0.338
S01_Sess03_FB052,0.746
S01_Sess03_FB053,0.804
S01_Sess03_FB054,0.812
S01_Sess03_FB055,0.796
S01_Sess03_FB056,0.74
S01_Sess03_FB057,0.644
S01_Sess03_FB058,0.584
S01_Sess03_FB059,0.712
S01_Sess03_FB060,0.766
S01_Sess04_FB001,0.546
S01_Sess04_FB002,0.572
S01_Sess04_FB003,0.804
S01_Sess04_FB004,0.678
S01_Sess04_FB005,0.364
S01_Sess04_FB006,0.632
S01_Sess04_FB007,0.636
S01_Sess04_FB008,0.446
S01_Sess04_FB009,0.386
S01_Sess04_FB010,0.666
S01_Sess04_FB011,0.81
S01_Sess04_FB012,0.788
S01_Sess04_FB013,0.744
S01_Sess04_FB014,0.65
S01_Sess04_FB015,0.514
S01_Sess04_FB016,0.372
S01_Sess04_FB017,0.608
S01_Sess04_FB018,0.642
S01_Sess04_FB019,0.714
S01_Sess04_FB020,0.732
S01_Sess04_FB021,0.518
S01_Sess04_FB022,0.856
S01_Sess04_FB023,0.644
S01_Sess04_FB024,0.188
S01_Sess04_FB025,0.64
S01_Sess04_FB026,0.606
S01_Sess04_FB027,0.756
S01_Sess04_FB028,0.592
S01_Sess04_FB029,0.576
S01_Sess04_FB030,0.578
S01_Sess04_FB031,0.716
S01_Sess04_FB032,0.656
S01_Sess04_FB033,0.6
S01_Sess04_FB034,0.53
S01_Sess04_FB035,0.82
S01_Sess04_FB036,0.614
