IdFeedBack,Prediction
S01_Sess01_FB001,0.69
S01_Sess01_FB002,0.694
S01_Sess01_FB003,0.651
S01_Sess01_FB004,0.753
S01_Sess01_FB005,0.735
S01_Sess01_FB006,0.721
S01_Sess01_FB007,0.666
S01_Sess01_FB008,0.647
S01_Sess01_FB009,0.797
S01_Sess01_FB010,0.694
S01_Sess01_FB011,0.685
S01_Sess01_FB012,0.682
S01_Sess01_FB013,0.785
S01_Sess01_FB014,0.779
S01_Sess01_FB015,0.769
S01_Sess01_FB016,0.762
S01_Sess01_FB017,0.743
S01_Sess01_FB018,0.674
S01_Sess01_FB019,0.686
S01_Sess01_FB020,0.629
S01_Sess01_FB021,0.756
S01_Sess01_FB022,0.762
S01_Sess01_FB023,0.73
S01_Sess01_FB024,0.769
S01_Sess01_FB025,0.783
S01_Sess01_FB026,0.818
S01_Sess01_FB027,0.791
S01_Sess01_FB028,0.712
S01_Sess01_FB029,0.815
S01_Sess01_FB030,0.785
S01_Sess01_FB031,0.684
S01_Sess01_FB032,0.761
S01_Sess01_FB033,0.795
S01_Sess01_FB034,0.811
S01_Sess01_FB035,0.786
S01_Sess01_FB036,0.796
S01_Sess01_FB037,0.777
S01_Sess01_FB038,0.768
S01_Sess01_FB039,0.757
S01_Sess01_FB040,0.796
S01_Sess01_FB041,0.791
S01_Sess01_FB042,0.857
S01_Sess01_FB043,0.731
S01_Sess01_FB044,0.707
S01_Sess01_FB045,0.754
S01_Sess01_FB046,0.763
S01_Sess01_FB047,0.767
S01_Sess01_FB048,0.649
S01_Sess01_FB049,0.722
S01_Sess01_FB050,0.602
S01_Sess01_FB051,0.709
S01_Sess01_FB052,0.703
S01_Sess01_FB053,0.751
S01_Sess01_FB054,0.817
S01_Sess01_FB055,0.697
S01_Sess01_FB056,0.352
S01_Sess01_FB057,0.645
S01_Sess01_FB058,0.689
S01_Sess01_FB059,0.703
S01_Sess01_FB060,0.739
S01_Sess02_FB001,0.712
S01_Sess02_FB002,0.738
S01_Sess02_FB003,0.826
S01_Sess02_FB004,0.754
S01_Sess02_FB005,0.761
S01_Sess02_FB006,0.807
S01_Sess02_FB007,0.747
S01_Sess02_FB008,0.65
S01_Sess02_FB009,0.806
S01_Sess02_FB010,0.715
S01_Sess02_FB011,0.725
S01_Sess02_FB012,0.781
S01_Sess02_FB013,0.732
S01_Sess02_FB014,0.714
S01_Sess02_FB015,0.748
S01_Sess02_FB016,0.781
S01_Sess02_FB017,0.739
S01_Sess02_FB018,0.753
S01_Sess02_FB019,0.761
S01_Sess02_FB020,0.763
S01_Sess02_FB021,0.705
S01_Sess02_FB022,0.707
S01_Sess02_FB023,0.768
S01_Sess02_FB024,0.718
S01_Sess02_FB025,0.77
S01_Sess02_FB026,0.837
S01_Sess02_FB027,0.861
S01_Sess02_FB028,0.776
S01_Sess02_FB029,0.637
S01_Sess02_FB030,0.696
S01_Sess02_FB031,0.697
S01_Sess02_FB032,0.722
S01_Sess02_FB033,0.675
S01_Sess02_FB034,0.813
S01_Sess02_FB035,0.727
S01_Sess02_FB036,0.634
S01_Sess02_FB037,0.472
S01_Sess02_FB038,0.643
S01_Sess02_FB039,0.776
S01_Sess02_FB040,0.823
S01_Sess02_FB041,0.761
S01_Sess02_FB042,0.613
S01_Sess02_FB043,0.761
S01_Sess02_FB044,0.739
