IdFeedBack,Prediction
S01_Sess01_FB001,0.98
S01_Sess01_FB002,0.98
S01_Sess01_FB003,0.9
S01_Sess01_FB004,0.88
S01_Sess01_FB005,0.88
S01_Sess01_FB006,0.87
S01_Sess01_FB007,0.93
S01_Sess01_FB008,0.88
S01_Sess01_FB009,0.96
S01_Sess01_FB010,0.94
S01_Sess01_FB011,0.84
S01_Sess01_FB012,0.95
S01_Sess01_FB013,0.94
S01_Sess01_FB014,0.97
S01_Sess01_FB015,0.96
S01_Sess01_FB016,0.94
S01_Sess01_FB017,0.96
S01_Sess01_FB018,0.97
S01_Sess01_FB019,0.99
S01_Sess01_FB020,0.97
S01_Sess01_FB021,1
S01_Sess01_FB022,0.99
S01_Sess01_FB023,1
S01_Sess01_FB024,1
S01_Sess01_FB025,1
S01_Sess01_FB026,0.99
S01_Sess01_FB027,1
S01_Sess01_FB028,1
S01_Sess01_FB029,1
S01_Sess01_FB030,0.99
S01_Sess01_FB031,1
S01_Sess01_FB032,1
S01_Sess01_FB033,1
S01_Sess01_FB034,1
S01_Sess01_FB035,1
S01_Sess01_FB036,0.99
S01_Sess01_FB037,0.99
S01_Sess01_FB038,0.99
S01_Sess01_FB039,0.96
S01_Sess01_FB040,0.99
S01_Sess01_FB041,0.99
S01_Sess01_FB042,0.97
S01_Sess01_FB043,0.97
S01_Sess01_FB044,0.98
S01_Sess01_FB045,0.98
S01_Sess01_FB046,0.97
S01_Sess01_FB047,0.97
S01_Sess01_FB048,0.97
S01_Sess01_FB049,0.97
S01_Sess01_FB050,0.97
S01_Sess01_FB051,0.96
S01_Sess01_FB052,0.94
S01_Sess01_FB053,0.96
S01_Sess01_FB054,0.94
S01_Sess01_FB055,0.93
S01_Sess01_FB056,0.93
S01_Sess01_FB057,0.93
S01_Sess01_FB058,0.93
S01_Sess01_FB059,0.93
S01_Sess01_FB060,0.95
S01_Sess02_FB001,0.71
S01_Sess02_FB002,0.83
S01_Sess02_FB003,0.82
S01_Sess02_FB004,0.88
S01_Sess02_FB005,0.9
S01_Sess02_FB006,0.93
S01_Sess02_FB007,0.96
S01_Sess02_FB008,0.99
S01_Sess02_FB009,0.95
S01_Sess02_FB010,0.99
