IdFeedBack,Prediction
S01_Sess01_FB001,0.95
S01_Sess01_FB002,0.93
S01_Sess01_FB003,0.59
S01_Sess01_FB004,0.89
S01_Sess01_FB005,0.61
S01_Sess01_FB006,0.98
S01_Sess01_FB007,0.97
S01_Sess01_FB008,0.99
S01_Sess01_FB009,0.94
S01_Sess01_FB010,0.78
S01_Sess01_FB011,0.42
S01_Sess01_FB012,0.84
S01_Sess01_FB013,0.75
S01_Sess01_FB014,0.83
S01_Sess01_FB015,0.97
S01_Sess01_FB016,0.87
S01_Sess01_FB017,1
S01_Sess01_FB018,1
S01_Sess01_FB019,0.99
S01_Sess01_FB020,0.38
S01_Sess01_FB021,0.74
S01_Sess01_FB022,0.8
S01_Sess01_FB023,0.88
S01_Sess01_FB024,0.93
S01_Sess01_FB025,1
S01_Sess01_FB026,0.84
S01_Sess01_FB027,0.98
S01_Sess01_FB028,0
S01_Sess01_FB029,1
S01_Sess01_FB030,0.89
S01_Sess01_FB031,0.38
S01_Sess01_FB032,0.93
S01_Sess01_FB033,0.84
S01_Sess01_FB034,0.98
S01_Sess01_FB035,0.28
S01_Sess01_FB036,0.98
S01_Sess01_FB037,0.98
S01_Sess01_FB038,0.99
S01_Sess01_FB039,0.98
S01_Sess01_FB040,0.98
S01_Sess01_FB041,1
S01_Sess01_FB042,0.01
S01_Sess01_FB043,0.08
S01_Sess01_FB044,0.49
S01_Sess01_FB045,0.97
S01_Sess01_FB046,0.98
S01_Sess01_FB047,0.9
S01_Sess01_FB048,0.95
S01_Sess01_FB049,0.89
S01_Sess01_FB050,0.98
S01_Sess01_FB051,0.92
S01_Sess01_FB052,0.98
S01_Sess01_FB053,0.08
S01_Sess01_FB054,0.9
S01_Sess01_FB055,0.95
S01_Sess01_FB056,0.97
S01_Sess01_FB057,0.73
S01_Sess01_FB058,0.73
S01_Sess01_FB059,0.65
S01_Sess01_FB060,0.97
S01_Sess02_FB001,0.88
S01_Sess02_FB002,0.99
S01_Sess02_FB003,0.27
S01_Sess02_FB004,0.72
S01_Sess02_FB005,0.99
S01_Sess02_FB006,1
S01_Sess02_FB007,0.88
S01_Sess02_FB008,0.9
S01_Sess02_FB009,1
S01_Sess02_FB010,1
S01_Sess02_FB011,0.99
S01_Sess02_FB012,0.94
S01_Sess02_FB013,0.98
S01_Sess02_FB014,0.94
S01_Sess02_FB015,0.96
S01_Sess02_FB016,0.91
S01_Sess02_FB017,0.01
S01_Sess02_FB018,0.99
S01_Sess02_FB019,0.97
S01_Sess02_FB020,1
S01_Sess02_FB021,1
S01_Sess02_FB022,0.91
S01_Sess02_FB023,0.72
S01_Sess02_FB024,1
S01_Sess02_FB025,0.91
S01_Sess02_FB026,0.67
S01_Sess02_FB027,0.83
S01_Sess02_FB028,0.91
S01_Sess02_FB029,0.99
S01_Sess02_FB030,0.91
S01_Sess02_FB031,0.88
S01_Sess02_FB032,0.65
S01_Sess02_FB033,0.74
S01_Sess02_FB034,0.98
S01_Sess02_FB035,0.77
S01_Sess02_FB036,0.99
S01_Sess02_FB037,0.1
S01_Sess02_FB038,0.97
S01_Sess02_FB039,0.91
S01_Sess02_FB040,0.44
S01_Sess02_FB041,1
S01_Sess02_FB042,0.81
S01_Sess02_FB043,0.32
S01_Sess02_FB044,0.94
S01_Sess02_FB045,0.38
S01_Sess02_FB046,0.05
S01_Sess02_FB047,0.37
S01_Sess02_FB048,0.43
S01_Sess02_FB049,0.9
S01_Sess02_FB050,0.23
S01_Sess02_FB051,0.86
S01_Sess02_FB052,0.57
S01_Sess02_FB053,0.57
S01_Sess02_FB054,0.96
S01_Sess02_FB055,1
S01_Sess02_FB056,0.75
S01_Sess02_FB057,0.93
S01_Sess02_FB058,0.23
S01_Sess02_FB059,0.24
S01_Sess02_FB060,0.86
S01_Sess03_FB001,0.49
S01_Sess03_FB002,0.92
S01_Sess03_FB003,0.14
S01_Sess03_FB004,0.95
S01_Sess03_FB005,0.06
S01_Sess03_FB006,0.36
S01_Sess03_FB007,0.86
S01_Sess03_FB008,0.72
S01_Sess03_FB009,0.87
S01_Sess03_FB010,0.67
S01_Sess03_FB011,0.87
S01_Sess03_FB012,0.95
S01_Sess03_FB013,0.74
S01_Sess03_FB014,0.84
S01_Sess03_FB015,0.83
S01_Sess03_FB016,0.94
S01_Sess03_FB017,0.87
S01_Sess03_FB018,0.99
S01_Sess03_FB019,0
S01_Sess03_FB020,0.14
S01_Sess03_FB021,0.94
S01_Sess03_FB022,0.91
S01_Sess03_FB023,0.85
S01_Sess03_FB024,0.95
S01_Sess03_FB025,0.96
S01_Sess03_FB026,0.93
S01_Sess03_FB027,0.93
S01_Sess03_FB028,0.41
S01_Sess03_FB029,0.97
S01_Sess03_FB030,0.85
S01_Sess03_FB031,0.73
S01_Sess03_FB032,0.93
S01_Sess03_FB033,1
S01_Sess03_FB034,0.88
S01_Sess03_FB035,0.9
S01_Sess03_FB036,0.5
S01_Sess03_FB037,0.1
S01_Sess03_FB038,0.92
S01_Sess03_FB039,0.36
S01_Sess03_FB040,1
S01_Sess03_FB041,0.98
S01_Sess03_FB042,0.73
S01_Sess03_FB043,0.98
S01_Sess03_FB044,0.96
S01_Sess03_FB045,0.67
S01_Sess03_FB046,0.05
S01_Sess03_FB047,0.98
S01_Sess03_FB048,0.9
S01_Sess03_FB049,0.98
S01_Sess03_FB050,0.86
S01_Sess03_FB051,0.05
S01_Sess03_FB052,0.14
S01_Sess03_FB053,0.17
S01_Sess03_FB054,0.95
S01_Sess03_FB055,1
S01_Sess03_FB056,0.79
S01_Sess03_FB057,0.38
S01_Sess03_FB058,0.2
S01_Sess03_FB059,0.8
S01_Sess03_FB060,0.61
S01_Sess04_FB001,0.6
S01_Sess04_FB002,0.75
S01_Sess04_FB003,0.87
S01_Sess04_FB004,0.96
S01_Sess04_FB005,0.75
S01_Sess04_FB006,0.69
S01_Sess04_FB007,0.89
S01_Sess04_FB008,0.34
S01_Sess04_FB009,0.24
S01_Sess04_FB010,0.66
S01_Sess04_FB011,0.85
S01_Sess04_FB012,0.8
S01_Sess04_FB013,0.7
S01_Sess04_FB014,0.97
S01_Sess04_FB015,0.98
S01_Sess04_FB016,0.61
S01_Sess04_FB017,0.99
S01_Sess04_FB018,0.98
S01_Sess04_FB019,0.94
S01_Sess04_FB020,0.79
S01_Sess04_FB021,0.98
S01_Sess04_FB022,0.97
S01_Sess04_FB023,0.71
S01_Sess04_FB024,0.82
S01_Sess04_FB025,0.68
S01_Sess04_FB026,0.8
S01_Sess04_FB027,0.96
S01_Sess04_FB028,0.89
S01_Sess04_FB029,0.99
S01_Sess04_FB030,0.76
S01_Sess04_FB031,0.86
S01_Sess04_FB032,0.01
S01_Sess04_FB033,0.83
S01_Sess04_FB034,0.85
S01_Sess04_FB035,0.04
S01_Sess04_FB036,0.79
S01_Sess04_FB037,0.92
S01_Sess04_FB038,0.47
S01_Sess04_FB039,0.22
S01_Sess04_FB040,0.82
S01_Sess04_FB041,0.87
S01_Sess04_FB042,0.94
S01_Sess04_FB043,0.71
S01_Sess04_FB044,0.83
