IdFeedBack,Prediction
S01_Sess01_FB001,0.667
S01_Sess01_FB002,0.667
S01_Sess01_FB003,0.554
S01_Sess01_FB004,0.546
S01_Sess01_FB005,0.551
S01_Sess01_FB006,0.528
S01_Sess01_FB007,0.54
S01_Sess01_FB008,0.549
S01_Sess01_FB009,0.594
S01_Sess01_FB010,0.608
S01_Sess01_FB011,0.646
S01_Sess01_FB012,0.656
S01_Sess01_FB013,0.607
S01_Sess01_FB014,0.735
S01_Sess01_FB015,0.668
S01_Sess01_FB016,0.66
S01_Sess01_FB017,0.77
S01_Sess01_FB018,0.727
S01_Sess01_FB019,0.65
S01_Sess01_FB020,0.622
S01_Sess01_FB021,0.634
S01_Sess01_FB022,0.755
S01_Sess01_FB023,0.835
S01_Sess01_FB024,0.819
S01_Sess01_FB025,0.841
S01_Sess01_FB026,0.839
S01_Sess01_FB027,0.741
S01_Sess01_FB028,0.641
S01_Sess01_FB029,0.748
S01_Sess01_FB030,0.722
S01_Sess01_FB031,0.733
S01_Sess01_FB032,0.809
S01_Sess01_FB033,0.77
S01_Sess01_FB034,0.842
S01_Sess01_FB035,0.782
S01_Sess01_FB036,0.715
S01_Sess01_FB037,0.793
S01_Sess01_FB038,0.705
S01_Sess01_FB039,0.59
S01_Sess01_FB040,0.52
S01_Sess01_FB041,0.57
S01_Sess01_FB042,0.561
S01_Sess01_FB043,0.509
S01_Sess01_FB044,0.526
S01_Sess01_FB045,0.518
S01_Sess01_FB046,0.563
S01_Sess01_FB047,0.583
S01_Sess01_FB048,0.596
S01_Sess01_FB049,0.608
S01_Sess01_FB050,0.668
S01_Sess01_FB051,0.64
S01_Sess01_FB052,0.708
S01_Sess01_FB053,0.761
S01_Sess01_FB054,0.723
S01_Sess01_FB055,0.694
S01_Sess01_FB056,0.705
S01_Sess01_FB057,0.715
S01_Sess01_FB058,0.687
S01_Sess01_FB059,0.709
S01_Sess01_FB060,0.606
S01_Sess02_FB001,0.545
S01_Sess02_FB002,0.563
S01_Sess02_FB003,0.555
S01_Sess02_FB004,0.606
S01_Sess02_FB005,0.669
S01_Sess02_FB006,0.727
S01_Sess02_FB007,0.653
S01_Sess02_FB008,0.673
S01_Sess02_FB009,0.754
S01_Sess02_FB010,0.669
S01_Sess02_FB011,0.68
S01_Sess02_FB012,0.602
S01_Sess02_FB013,0.668
S01_Sess02_FB014,0.552
S01_Sess02_FB015,0.59
S01_Sess02_FB016,0.57
S01_Sess02_FB017,0.529
S01_Sess02_FB018,0.533
S01_Sess02_FB019,0.719
S01_Sess02_FB020,0.676
S01_Sess02_FB021,0.677
S01_Sess02_FB022,0.644
S01_Sess02_FB023,0.655
S01_Sess02_FB024,0.678
S01_Sess02_FB025,0.62
S01_Sess02_FB026,0.698
S01_Sess02_FB027,0.696
S01_Sess02_FB028,0.848
S01_Sess02_FB029,0.693
S01_Sess02_FB030,0.786
S01_Sess02_FB031,0.818
S01_Sess02_FB032,0.67
S01_Sess02_FB033,0.722
S01_Sess02_FB034,0.815
S01_Sess02_FB035,0.848
S01_Sess02_FB036,0.74
